speaker,ipu,stimulus,sentence_ons,sentence_off,word_ons,word_off,v1_ons,c2_ons,v2_ons,voice_ons,voice_off,c1_rel,c2_rel
it06,ipu_30,Sentivo 'cheto' di nuovo,140.4489352794867,141.9613547932641,140.94616528206782,141.31253027770094,141.084943,141.17052516128123,141.2624125293784,141.08087385394603,141.19837602070828,141.0265464558853,141.23304499305138
it06,ipu_31,Ripete 'chipo' da sempre,143.57400980368678,145.17478179811042,144.03283586297908,144.414966,144.174966,144.2309193599423,144.34410992963555,144.16226440271512,144.26945836580109,144.11382767761916,144.3164409018924
it06,ipu_32,Ha detto 'copo' sei volte,149.90138976607724,151.46274255142174,150.31979062190769,150.659955,150.429955,150.519955,150.60478830631394,150.41941967223963,150.54346808803442,150.3832624619764,--undefined--
it06,ipu_33,Sentivo 'toco' di nuovo,153.74460389010355,155.30731036316868,154.279932,154.66807524416777,154.399932,154.50114743321848,154.60743743897493,154.39034691919414,154.51882619391415,154.37568557602728,154.5778934649645
it06,ipu_34,Scrivete 'papo' sul foglio,156.73905795239543,158.54666605692714,157.32320214241958,157.73680829996889,157.44245649263212,157.5455407614599,157.67010671425678,157.44163397427968,157.5758345111696,--undefined--,157.64384367788662
it06,ipu_35,Scrivete 'taco' sul foglio,160.1105570067479,161.7259761838706,160.579955,160.939955,160.69267993659895,160.78767916473436,160.88984204466217,160.69279925310488,160.81095297320607,160.67944567964625,160.86338210647966
it06,ipu_36,Sentivo 'chepo' di nuovo,163.40524817452285,164.97813628252814,163.92909298128438,164.3212267262726,164.0727716645391,164.14755829094358,164.269932,164.06300977229137,164.18584326667596,164.01305584095581,164.25029822186832
it06,ipu_37,Ha detto 'chipo' sei volte,168.45980792342613,170.0657976435436,168.8681024783911,169.244921,169.004921,169.06618597535433,169.1733127645283,168.99361787991725,169.09791245888854,168.9262377480208,169.15097562721505
it06,ipu_38,Ripete 'tipo' da sempre,171.50192617504675,173.06917352994546,171.974943,172.324943,172.10426170662876,172.154943,172.254943,172.0908708152311,172.17988817953653,--undefined--,--undefined--
it06,ipu_39,Ripete 'poco' da sempre,174.43262130069968,175.94419475965177,174.83123258221192,175.21122949475358,174.944966,175.03537985969442,175.144966,174.93897479989988,175.05587459468936,--undefined--,175.1067108924163
it06,ipu_40,Ripete 'coco' da sempre,178.14344751909215,179.68264177660717,178.57801845630735,178.9276964662526,178.694943,178.78014447361676,178.874943,178.68631934245667,178.8053359284601,178.65116993039996,178.8492941149427
it06,ipu_41,Ripete 'tepo' da sempre,181.05249174981097,182.59623616056737,181.4749351259876,181.829932,181.59823199654633,181.669932,181.769932,181.58554723377802,181.70205890402485,181.56108288052246,181.7392708226477
it06,ipu_42,Ha detto 'popo' sei volte,184.0723761395274,185.6239610459366,184.484943,184.824943,184.594943,184.684943,184.764943,184.58547766392593,184.7116915697447,--undefined--,--undefined--
it06,ipu_43,Sentivo 'toto' di nuovo,187.11516196360074,188.61183442340607,187.59631576168752,187.96014259284442,187.70546381103458,187.7984417789969,187.899932,187.6936898281595,187.82228489440595,187.68261823065333,187.87584302085702
it06,ipu_44,Ripete 'pato' da sempre,189.96526049877744,191.54716430778294,190.39781017581953,190.764921,190.514921,190.59387241260964,190.71514802299527,190.51288336126774,190.62684877101788,--undefined--,--undefined--
it06,ipu_45,Ripete 'taco' da sempre,194.3981088977853,195.94917689989126,194.85163262590126,195.259955,194.979955,195.07801376528778,195.2013106358465,194.97618758974855,195.08500185167946,194.9644237938019,195.16545982486193
it06,ipu_46,Ha detto 'coto' sei volte,197.51576595374547,199.10188149406227,197.91194221907978,198.28587535110216,198.05747295154254,198.15449343985105,198.23736510694792,198.04873421834822,198.17320910169613,198.009229829987,198.216309986234
it06,ipu_47,Scrivete 'chico' sul foglio,200.63149562642297,202.37576782172846,201.13276814935026,201.499932,201.26819258094756,201.339932,201.439932,201.2626206685133,201.3529135363763,201.2030675246203,--undefined--
it06,ipu_48,Ha detto 'paco' sei volte,203.754943,205.3172460921073,204.144943,204.514943,204.254943,204.37254687052157,204.4594610579646,204.24050953561982,204.38789311715155,204.21921827402466,204.4311654317326
it06,ipu_49,Sentivo 'tuco' di nuovo,206.69610249490347,208.15537700580268,207.179932,207.52886168621816,207.30450180700475,207.36513961219757,207.46013884033297,207.29648411016134,207.38849194504166,207.26645465482193,--undefined--
it06,ipu_50,Ha detto 'poco' sei volte,209.604966,211.09019925728427,209.974966,210.304966,210.084966,210.1830671955699,210.25583256180127,210.08118679026973,210.19658833713777,--undefined--,--undefined--
