stimulus_id,stimulus,sentence,word,c1,vowel,c2,backness,height,c1_place,c2_place
129,Scrivete 'copo' sul foglio,Scrivete X sul foglio,copo,k,o,p,back,mid-low,velar,labial
130,Ha detto 'copo' sei volte,Ha detto X sei volte,copo,k,o,p,back,mid-low,velar,labial
131,Sentivo 'copo' di nuovo,Sentivo X di nuovo,copo,k,o,p,back,mid-low,velar,labial
132,Ripete 'copo' da sempre,Ripete X da sempre,copo,k,o,p,back,mid-low,velar,labial
133,Scrivete 'cupo' sul foglio,Scrivete X sul foglio,cupo,k,u,p,back,high,velar,labial
134,Ha detto 'cupo' sei volte,Ha detto X sei volte,cupo,k,u,p,back,high,velar,labial
135,Sentivo 'cupo' di nuovo,Sentivo X di nuovo,cupo,k,u,p,back,high,velar,labial
136,Ripete 'cupo' da sempre,Ripete X da sempre,cupo,k,u,p,back,high,velar,labial
137,Scrivete 'cato' sul foglio,Scrivete X sul foglio,cato,k,a,t,central,low,velar,coronal
138,Ha detto 'cato' sei volte,Ha detto X sei volte,cato,k,a,t,central,low,velar,coronal
139,Sentivo 'cato' di nuovo,Sentivo X di nuovo,cato,k,a,t,central,low,velar,coronal
140,Ripete 'cato' da sempre,Ripete X da sempre,cato,k,a,t,central,low,velar,coronal
141,Scrivete 'cheto' sul foglio,Scrivete X sul foglio,cheto,k,e,t,front,mid-high,velar,coronal
142,Ha detto 'cheto' sei volte,Ha detto X sei volte,cheto,k,e,t,front,mid-high,velar,coronal
143,Sentivo 'cheto' di nuovo,Sentivo X di nuovo,cheto,k,e,t,front,mid-high,velar,coronal
144,Ripete 'cheto' da sempre,Ripete X da sempre,cheto,k,e,t,front,mid-high,velar,coronal
145,Scrivete 'chito' sul foglio,Scrivete X sul foglio,chito,k,i,t,front,high,velar,coronal
146,Ha detto 'chito' sei volte,Ha detto X sei volte,chito,k,i,t,front,high,velar,coronal
147,Sentivo 'chito' di nuovo,Sentivo X di nuovo,chito,k,i,t,front,high,velar,coronal
148,Ripete 'chito' da sempre,Ripete X da sempre,chito,k,i,t,front,high,velar,coronal
149,Scrivete 'coto' sul foglio,Scrivete X sul foglio,coto,k,o,t,back,mid-low,velar,coronal
150,Ha detto 'coto' sei volte,Ha detto X sei volte,coto,k,o,t,back,mid-low,velar,coronal
151,Sentivo 'coto' di nuovo,Sentivo X di nuovo,coto,k,o,t,back,mid-low,velar,coronal
152,Ripete 'coto' da sempre,Ripete X da sempre,coto,k,o,t,back,mid-low,velar,coronal
153,Scrivete 'cuto' sul foglio,Scrivete X sul foglio,cuto,k,u,t,back,high,velar,coronal
154,Ha detto 'cuto' sei volte,Ha detto X sei volte,cuto,k,u,t,back,high,velar,coronal
155,Sentivo 'cuto' di nuovo,Sentivo X di nuovo,cuto,k,u,t,back,high,velar,coronal
156,Ripete 'cuto' da sempre,Ripete X da sempre,cuto,k,u,t,back,high,velar,coronal
157,Scrivete 'checo' sul foglio,Scrivete X sul foglio,checo,k,e,k,front,mid-high,velar,velar
158,Ha detto 'checo' sei volte,Ha detto X sei volte,checo,k,e,k,front,mid-high,velar,velar
159,Sentivo 'checo' di nuovo,Sentivo X di nuovo,checo,k,e,k,front,mid-high,velar,velar
160,Ripete 'checo' da sempre,Ripete X da sempre,checo,k,e,k,front,mid-high,velar,velar
161,Scrivete 'chico' sul foglio,Scrivete X sul foglio,chico,k,i,k,front,high,velar,velar
162,Ha detto 'chico' sei volte,Ha detto X sei volte,chico,k,i,k,front,high,velar,velar
163,Sentivo 'chico' di nuovo,Sentivo X di nuovo,chico,k,i,k,front,high,velar,velar
164,Ripete 'chico' da sempre,Ripete X da sempre,chico,k,i,k,front,high,velar,velar
165,Scrivete 'coco' sul foglio,Scrivete X sul foglio,coco,k,o,k,back,mid-low,velar,velar
166,Ha detto 'coco' sei volte,Ha detto X sei volte,coco,k,o,k,back,mid-low,velar,velar
167,Sentivo 'coco' di nuovo,Sentivo X di nuovo,coco,k,o,k,back,mid-low,velar,velar
168,Ripete 'coco' da sempre,Ripete X da sempre,coco,k,o,k,back,mid-low,velar,velar
169,Scrivete 'cuco' sul foglio,Scrivete X sul foglio,cuco,k,u,k,back,high,velar,velar
170,Ha detto 'cuco' sei volte,Ha detto X sei volte,cuco,k,u,k,back,high,velar,velar
171,Sentivo 'cuco' di nuovo,Sentivo X di nuovo,cuco,k,u,k,back,high,velar,velar
172,Ripete 'cuco' da sempre,Ripete X da sempre,cuco,k,u,k,back,high,velar,velar
